effective_date,rate_key,product_type,unit_count,pack_type,cost,note,changed_by
2026-06-23,1.5L|6|단품,1.5L,6,단품,2972,정가표 2026.06.23,이지은
2026-06-23,1.5L|12|단품,1.5L,12,단품,5944,정가표 2026.06.23,이지은
2026-06-23,1.5L|18|단품,1.5L,18,단품,8916,정가표 2026.06.23,이지은
2026-06-23,1.5L|24|단품,1.5L,24,단품,11888,정가표 2026.06.23,이지은
2026-06-23,파우치|15|단품,파우치,15,단품,2915,정가표 2026.06.23,이지은
2026-06-23,파우치|30|단품,파우치,30,단품,3516,정가표 2026.06.23,이지은
2026-06-23,파우치|45|단품,파우치,45,단품,6631,정가표 2026.06.23,이지은
2026-06-23,파우치|60|단품,파우치,60,단품,7032,정가표 2026.06.23,이지은
2026-06-23,파우치|30|혼합,파우치,30,혼합,3957,정가표 2026.06.23,이지은
2026-06-23,파우치|45|혼합,파우치,45,혼합,3674,정가표 2026.06.23,이지은
2026-06-23,파우치|60|혼합,파우치,60,혼합,7914,정가표 2026.06.23,이지은
2026-06-23,캔|6|단품,캔,6,단품,2681,정가표 2026.06.23,이지은
2026-06-23,캔|12|단품,캔,12,단품,3557,정가표 2026.06.23,이지은
2026-06-23,캔|24|단품,캔,24,단품,4954,정가표 2026.06.23,이지은
2026-06-23,캔|48|단품,캔,48,단품,9908,정가표 2026.06.23,이지은
2026-06-23,캔|72|단품,캔,72,단품,14862,정가표 2026.06.23,이지은
2026-06-23,캔|96|단품,캔,96,단품,19816,정가표 2026.06.23,이지은
2026-06-23,캔|12|혼합,캔,12,혼합,3557,정가표 2026.06.23,이지은
2026-06-23,캔|18|혼합,캔,18,혼합,3674,정가표 2026.06.23,이지은
2026-06-23,캔|24|혼합,캔,24,혼합,5439,정가표 2026.06.23,이지은
2026-06-23,캔|30|혼합,캔,30,혼합,8120,정가표 2026.06.23,이지은
2026-06-23,캔|36|혼합,캔,36,혼합,8996,정가표 2026.06.23,이지은
2026-06-23,캔|42|혼합,캔,42,혼합,9113,정가표 2026.06.23,이지은
2026-06-23,캔|48|혼합,캔,48,혼합,10878,정가표 2026.06.23,이지은
2026-06-23,캔|54|혼합,캔,54,혼합,13559,정가표 2026.06.23,이지은
2026-06-23,캔|72|혼합,캔,72,혼합,16317,정가표 2026.06.23,이지은
2026-06-23,캔|78|혼합,캔,78,혼합,18998,정가표 2026.06.23,이지은
2026-06-23,캔|96|혼합,캔,96,혼합,21756,정가표 2026.06.23,이지은
2026-06-23,캔|102|혼합,캔,102,혼합,24437,정가표 2026.06.23,이지은
2026-06-23,페트|12|혼합,페트,12,혼합,3557,정가표 2026.06.23,이지은
2026-06-23,페트|18|혼합,페트,18,혼합,3694,정가표 2026.06.23,이지은
2026-06-23,페트|24|혼합,페트,24,혼합,5339,정가표 2026.06.23,이지은
2026-06-23,페트|30|혼합,페트,30,혼합,8120,정가표 2026.06.23,이지은
2026-06-23,페트|36|혼합,페트,36,혼합,8996,정가표 2026.06.23,이지은
2026-06-23,페트|42|혼합,페트,42,혼합,9133,정가표 2026.06.23,이지은
2026-06-23,페트|48|혼합,페트,48,혼합,10878,정가표 2026.06.23,이지은
2026-06-23,페트|54|혼합,페트,54,혼합,13559,정가표 2026.06.23,이지은
2026-06-23,페트|60|혼합,페트,60,혼합,14435,정가표 2026.06.23,이지은
2026-06-23,페트|66|혼합,페트,66,혼합,14572,정가표 2026.06.23,이지은
2026-06-23,페트|72|혼합,페트,72,혼합,16317,정가표 2026.06.23,이지은
2026-06-23,페트|78|혼합,페트,78,혼합,18998,정가표 2026.06.23,이지은
2026-06-23,페트|96|혼합,페트,96,혼합,21756,정가표 2026.06.23,이지은
2026-06-23,페트|102|혼합,페트,102,혼합,24437,정가표 2026.06.23,이지은
2026-06-23,페트|144|혼합,페트,144,혼합,32634,정가표 2026.06.23,이지은
2026-06-23,페트|6|단품,페트,6,단품,2681,정가표 2026.06.23,이지은
2026-06-23,페트|12|단품,페트,12,단품,3557,정가표 2026.06.23,이지은
2026-06-23,페트|24|단품,페트,24,단품,4954,정가표 2026.06.23,이지은
2026-06-23,페트|48|단품,페트,48,단품,9908,정가표 2026.06.23,이지은
2026-06-23,페트|72|단품,페트,72,단품,14862,정가표 2026.06.23,이지은
2026-06-23,페트|96|단품,페트,96,단품,19816,정가표 2026.06.23,이지은
2026-06-23,페트|120|단품,페트,120,단품,24770,정가표 2026.06.23,이지은
2026-08-05,캔|120|단품,캔,120,단품,24770,캔 120개입 물류비 추가,이지은
2026-08-05,화이바|20|단품,화이바,20,단품,4954,정가표 2026.06.23,이지은
2026-08-05,화이바|40|단품,화이바,40,단품,9908,화이바 물류비 추가,이지은
2026-08-05,화이바|60|단품,화이바,60,단품,14862,화이바 물류비 추가,이지은
2026-08-05,화이바|80|단품,화이바,80,단품,19816,화이바 물류비 추가,이지은
2026-08-05,화이바|100|단품,화이바,100,단품,24770,화이바 물류비 추가,이지은
2026-08-05,화이바|46|혼합,화이바,46,혼합,12589,화이바 물류비 추가,이지은
2026-08-05,화이바|66|혼합,화이바,66,혼합,17543,화이바 물류비 추가,이지은
2026-08-05,화이바|86|혼합,화이바,86,혼합,22497,화이바 물류비 추가,이지은
